"msgid","msgstr"
"<h3>Help</h3>

<p>Notes:</p>

<ol>
<li>Use field <code>base</code> for using base salary of the Employee</li>
<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>
<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>
<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>
<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>

<h4>Examples</h4>
<ol>
<li>Calculating Basic Salary based on <code>base</code>
<pre><code>Condition: base &lt; 10000</code></pre>
<pre><code>Formula: base * .2</code></pre></li>
<li>Calculating HRA based on Basic Salary<code>BS</code> 
<pre><code>Condition: BS &gt; 2000</code></pre>
<pre><code>Formula: BS * .1</code></pre></li>
<li>Calculating TDS based on Employment Type<code>employment_type</code> 
<pre><code>Condition: employment_type==""Intern""</code></pre>
<pre><code>Amount: 1000</code></pre></li>
</ol>","<h3> مساعدة </h3>

<p> الملاحظات: </p>

<ol>
<li> استخدم الحقل <code> قاعدة </code> لاستخدام الراتب الأساسي للموظف </li>
<li> استخدم اختصارات مكونات الراتب في الظروف والصيغ. <code> bs = الراتب الأساسي </code> </li>
<li> استخدم اسم الحقل لتفاصيل الموظف في الشروط والصيغ. <code> نوع التوظيف = التوظيف _type </code> <code> الفرع = الفرع </code> </li>
<li> استخدم اسم الحقل من قسيمة الراتب في الظروف والصيغ. <code> أيام الدفع = payment_days </code> <code> إجازة بدون دفع = LEED_WITHOUT_PAY </code> </li>
يمكن أيضًا إدخال المبلغ المباشر بناءً على الحالة. انظر المثال 3 </li> </ol>

<h4> أمثلة </h4>
<ol>
<li> حساب الراتب الأساسي على أساس <code> قاعدة </code>
<pre> <code> الشرط: base & lt ؛ 10000 </code> </pre>
<pre> <code> الصيغة: قاعدة * .2 </code> </pre> </li>
<li> حساب HRA استنادًا إلى الراتب الأساسي <code> BS </code> 
<pre> <code> الشرط: bs & gt ؛ 2000 </code> </pre>
<pre> <code> الصيغة: bs * .1 </code> </pre> </li>
<li> حساب TDs استنادًا إلى نوع التوظيف <code> التوظيف _type </code> 
<pre> <code> الشرط: التوظيف _type == ""Intern"" </code> </pre>
<pre> <code> المبلغ: 1000 </code> </pre> </li>
</ol>"
"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","<h4> أمثلة الشرط </h4>
<ol>
<li> تطبيق الضريبة إذا ولد الموظف بين 31-12-1937 و 01-01-1958 (الموظفين الذين تتراوح أعمارهم بين 60 و 80) <br>
<code> الشرط: date_of_birth & gt ؛ التاريخ (1937 ، 12 ، 31) و Date_of_birth & lt ؛ date (1958 ، 01 ، 01) </code> </li> <br> <li> تطبيق الضريبة حسب جنس الموظف <br> <br>
<code> الشرط: الجنس == ""ذكر"" </code> </li> <br>
<li> تطبيق الضريبة حسب مكون الراتب <br>
<code> الشرط: BASE & GT ؛ 10000 </code> </li> </ol>"
"<span class=""h4""><b>Masters &amp; Reports</b></span>","<span class = ""h4""> <b> التقارير وإدارة البيانات الرئيسية </b> </span>"
"<span class=""h4""><b>Masters &amp; Transactions</b></span>","<span class = ""h4""> <b> ادارة البيانات الرئيسية والمعاملات </b> </span>"
"<span class=""h4""><b>Reports &amp; Masters</b></span>","<span class = ""h4""> <b> التقارير وإدارة البيانات الرئيسية </b> </span>"
"<span class=""h4""><b>Transactions &amp; Reports</b></span>","<span class = ""h4""> <b> المعاملات والتقارير </b> </span>"
"<span class=""h4""><b>Your Shortcuts</b></span>","<span class = ""h4""> <b> اختصاراتك </b> </span>"
"<span style=""font-size: 18px;""><b>Masters &amp; Reports</b></span>","<span style = ""font-size: 18px ؛""> <b> التقارير وإدارة البيانات الرئيسية </b> </span>"
"<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>","<table class = 'table table-border'> <tr> <th> {0} </h> <th> {1} </h> </tr>"
"A Job Requisition for {0} requested by {1} already exists: {2}","طلب مهمة لـ {0} طلبه {1} موجود بالفعل: {2}"
"A friendly reminder of an important date for our team.","تذكير ودود بتاريخ مهم لفريقنا."
"A {0} exists between {1} and {2} (","{0} موجود بين {1} و {2} ("
"Abbr","اسم مختصر"
"Absent","غائب"
"Absent Days","أيام الغياب"
"Absent Records","السجلات الغائبة"
"Academics User","المستخدمين الأكادميين"
"Accepted","مقبول"
"Account","حساب"
"Account Head","رئيس حساب"
"Account No","رقم الحساب"
"Account type cannot be set for payroll payable account {0}, please remove and try again","لا يمكن تعيين نوع الحساب لحساب كشوف المرتبات المستحقة الدفع {0} ، يرجى الإزالة والمحاولة مرة أخرى"
"Account {0} does not belong to company: {1}","الحساب {0} لا يتنمى للشركة {1}\
<br>\
Account {0} does not belong to company: {1}"
"Account {0} does not match with Company {1}","الحساب {0} لا يتطابق مع الشركة {1}"
"Accounting","المحاسبة"
"Accounting & Payment","المحاسبة والدفع"
"Accounting Details","تفاصيل المحاسبة"
"Accounting Dimension","البعد المحاسبي"
"Accounting Dimensions","أبعاد المحاسبة"
"Accounting Ledger","موازنة دفتر الأستاذ"
"Accounting Reports","تقارير المحاسبة"
"Accounts","الحسابات"
"Accounts Payable","الحسابات الدائنة"
"Accounts Receivable","الحسابات المدينة"
"Accounts Settings","إعدادات الحسابات"
"Accounts not set for Salary Component {0}","لم يتم تعيين حسابات مكون الراتب {0}"
"Accrual Journal Entry for salaries from {0} to {1}","مدخل يومية تراكمية للرواتب من {0} إلى {1}"
"Action","حدث"
"Action on Submission","العمل على التقديم"
"Actions","الإجراءات"
"Active","نشط"
"Activities","أنشطة"
"Activity Name","اسم النشاط"
"Activity Type","نوع النشاط"
"Actual Amount","الكمية الفعلية"
"Actual Cost","التكلفة الفعلية"
"Actual Encashable Days","الأيام الفعلية القابلة للتنفيذ"
"Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.","الأرصدة الفعلية غير متوفرة لأن تطبيق الإجازة يمتد على مخصصات إجازة مختلفة. لا يزال بإمكانك التقدم بطلب للحصول على الأوراق التي سيتم تعويضها أثناء التخصيص التالي."
"Add Day-wise Dates","أضف تواريخ نهارية"
"Add Employee Property","إضافة ممتلكات الموظف"
"Add Expense","أضف المصاريف"
"Add Feedback","أضف ردود الفعل"
"Add Tax","أضف الضريبة"
"Add to Details","إضافة إلى التفاصيل"
"Add unused leaves from previous allocations","إضافة الاجازات غير المستخدمة من المخصصات السابقة"
"Add unused leaves from previous leave period's allocation to this allocation","أضف أوراق غير مستخدمة من تخصيص فترة الإجازة السابقة لهذا التخصيص"
"Added On","تمت إضافة على"
"Added tax components from the Salary Component master as the salary structure didn't have any tax component.","المكونات الضريبية المضافة من ماجستير مكون الراتب حيث أن هيكل الرواتب لم يكن لديه أي مكون ضريبي."
"Added to details","تم اضافته الى التفاصيل"
"Additional Amount","مبلغ إضافي"
"Additional Information ","معلومات إضافية"
"Additional PF","PF إضافية"
"Additional Salary","راتب إضافي"
"Additional Salary ","الراتب الإضافي"
"Additional Salary for referral bonus can only be created against Employee Referral with status {0}","لا يمكن إنشاء راتب إضافي لمكافأة الإحالة إلا مقابل إحالة الموظف مع الحالة {0}"
"Additional Salary for this salary component with {0} enabled already exists for this date","راتب إضافي لهذا مكون الرواتب مع {0} ممكّن موجود بالفعل لهذا التاريخ"
"Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3}","الراتب الإضافي: {0} موجود بالفعل لمكون الراتب: {1} للفترة {2} و {3}"
"Address of Organizer","عنوان المنظم"
"Advance","مقدما"
"Advance Account","حساب مقدم"
"Advance Amount","المبلغ مقدما"
"Advance Paid","مسبقا المدفوعة"
"Advance Payments","دفعات مقدمة"
"Advanced Filters","المرشحات المتقدمة"
"Advances","الدفعات المقدمة"
"All","الكل"
"All Goals","جميع الأهداف"
"All Jobs","جميع الوظائف"
"All allocated assets should be returned before submission","يجب إرجاع جميع الأصول المخصصة قبل التقديم"
"All the mandatory tasks for employee creation are not completed yet.","لم تكتمل جميع المهام الإلزامية لإنشاء الموظفين بعد."
"Allocate Based On Leave Policy","تخصيص بناء على سياسة الإجازة"
"Allocate Leave","تخصيص إجازة"
"Allocate Leaves","تخصيص الأوراق"
"Allocate leaves to {0} employee(s)?","تخصيص الأوراق إلى {0} الموظف (s)؟"
"Allocate on Day","تخصيص في اليوم"
"Allocated Amount","المبلغ المخصص"
"Allocated Leaves","الإجازات المخصصة"
"Allocated {0} leave(s) via scheduler on {1} based on the 'Allocate on Day' option set to {2}","تخصيص {0} إجازة (s) عبر Scheduler على {1} استنادًا إلى خيار ""تخصيص في اليوم"" المعين على {2}"
"Allocating Leave","تخصيص الإجازة"
"Allocation","توزيع"
"Allocation Expired!","تخصيص انتهت!"
"Allow Employee Checkin from Mobile App","السماح للموظف بالتحقق من تطبيق الهاتف المحمول"
"Allow Encashment","السماح بالصرف"
"Allow Geolocation Tracking","السماح بتتبع تحديد الموقع الجغرافي"
"Allow Leave Application After (Working Days)","السماح بطلب الإجازة بعد (أيام العمل)"
"Allow Multiple Shift Assignments for Same Date","السماح بمهام التحول المتعددة لنفس التاريخ"
"Allow Negative Balance","السماح برصيد سالب"
"Allow Over Allocation","السماح على التخصيص"
"Allow Tax Exemption","السماح بالإعفاء الضريبي"
"Allow User","تسمح للمستخدم"
"Allow Users","السماح للمستخدمين"
"Allow check-out after shift end time (in minutes)","السماح بتسجيل المغادرة بعد وقت انتهاء التحول (بالدقائق)"
"Allow the following users to approve Leave Applications for block days.","السماح للمستخدمين التاليين للموافقة على طلبات الحصول على إجازة في الأيام المحظورة"
"Allows allocating more leaves than the number of days in the allocation period.","يسمح بتخصيص أوراق أكثر من عدد الأيام في فترة التخصيص."
"Alternating entries as IN and OUT during the same shift","بالتناوب إدخالات مثل IN و OUT خلال نفس التحول"
"Amended From","معدل من"
"Amount","كمية"
"Amount Based on Formula","المبلغ على أساس الصيغة"
"Amount based on formula","القيمة بناءا على الصيغة"
"Amount claimed via Expense Claim","المبلغ المطالب به من خلال مطالبة المصاريف"
"Amount of expense","مقدار المصاريف"
"Amount paid against this encashment","المبلغ المدفوع مقابل هذا التسجيل"
"Amount scheduled for deduction via salary","المبلغ المقرر للخصم عبر الراتب"
"Amount should not be less than zero","لا ينبغي أن يكون المبلغ أقل من الصفر"
"Amount that has been paid against this advance","المبلغ الذي تم دفعه مقابل هذا التقدم"
"An amount of {0} already claimed for the component {1}, set the amount equal or greater than {2}","مبلغ {0} المطالب به بالفعل للمكون {1} ، قم بتعيين المبلغ متساوٍ أو أكبر من {2}"
"An attendance record is linked to this checkin. Please cancel the attendance before modifying time.","يرتبط سجل الحضور بهذا الشيكات. يرجى إلغاء الحضور قبل تعديل الوقت."
"Annual Allocation","التخصيص السنوي"
"Annual Allocation Exceeded","التخصيص السنوي تجاوز"
"Annual Salary","الراتب السنوي"
"Annual Taxable Amount","المبلغ الخاضع للضريبة السنوي"
"Any other details","أي تفاصيل أخرى"
"Any other remarks, noteworthy effort that should go in the records","أي ملاحظات أخرى ، جهد جدير بالملاحظة يجب أن يذهب في السجلات"
"Applicable Earnings Component","مكون الأرباح المعمول به"
"Applicable For","قابل للتطبيق ل"
"Applicable in the case of Employee Onboarding","ينطبق على حالة تشغيل الموظف"
"Applicant Email Address","عنوان البريد الإلكتروني للمتقدم"
"Applicant Name","اسم مقدم الطلب"
"Applicant Rating","تصنيف مقدم الطلب"
"Applicant for a Job","مقدم الطلب للحصول على وظيفة"
"Applicant name","اسم التطبيق"
"Application","طلب"
"Application Status","حالة الطلب"
"Application period cannot be across two allocation records","فترة الطلب لا يمكن ان تكون خلال سجلين مخصصين"
"Application period cannot be outside leave allocation period","فترة الاجازة لا يمكن أن تكون خارج فترة الاجازة المسموحة للموظف.\
<br>\
Application period cannot be outside leave allocation period"
"Applications Received","الطلبات المستلمة"
"Applications received:","الطلبات المستلمة:"
"Applies to Company","ينطبق على شركة"
"Apply","يتقدم"
"Apply / Approve Leaves","تطبيق / الموافقة على الأوراق"
"Apply Filters","تطبيق المرشحات"
"Apply Now","التطبيق الآن"
"Appointment","موعد"
"Appointment Date","تاريخ الموعد"
"Appointment Letter","رسالة موعد"
"Appointment Letter Template","قالب رسالة التعيين"
"Appointment Letter content","محتوى رسالة التعيين"
"Appraisal","تقييم"
"Appraisal Cycle","دورة التقييم"
"Appraisal Goal","الغاية من التقييم"
"Appraisal KRA","تقييم KRA"
"Appraisal Linking","ربط التقييم"
"Appraisal Overview","نظرة عامة على التقييم"
"Appraisal Template","قالب تقييم"
"Appraisal Template Goal","الغاية من قالب التقييم"
"Appraisal Template Missing","قالب تقييم مفقود"
"Appraisal Template Title","عنوان قالب التقييم"
"Appraisal Template not found for some designations.","قالب تقييم غير موجود لبعض التسميات."
"Appraisal creation is queued. It may take a few minutes.","إنشاء التقييم في قائمة الانتظار. قد يستغرق الأمر بضع دقائق."
"Appraisal {0} already exists for Employee {1} for this Appraisal Cycle or overlapping period","التقييم {0} موجود بالفعل للموظف {1} لدورة التقييم هذه أو فترة التداخل"
"Appraisal {0} does not belong to Employee {1}","التقييم {0} لا ينتمي إلى الموظف {1}"
"Appraisee","التقييم"
"Appraisees: {0}","تقييمات: {0}"
"Apprentice","وضع تحت التدريب"
"Approval","موافقة"
"Approval Status","حالة الموافقة"
"Approval Status must be 'Approved' or 'Rejected'","حالة الموافقة يجب ان تكون (موافق عليه) او (مرفوض)"
"Approve","يعتمد"
"Approved","موافقة"
"Approver","المخول بالموافقة"
"Approvers","الموافقات"
"Apr","أبريل"
"Archive","أرشيف"
"Archived","أرشفة"
"Are you sure you want to delete the attachment","هل أنت متأكد من أنك تريد حذف المرفق"
"Are you sure you want to delete the {0}","هل أنت متأكد أنك تريد حذف {0}"
"Are you sure you want to email the selected salary slips?","هل أنت متأكد من أنك تريد إرسال رواتب محددة بالبريد الإلكتروني؟"
"Are you sure you want to proceed?","هل أنت متأكد أنك تريد المتابعة؟"
"Are you sure you want to reject the Employee Referral?","هل أنت متأكد أنك تريد رفض إحالة الموظف؟"
"Arrival Datetime","تارخ الوصول"
"As per your assigned Salary Structure you cannot apply for benefits","حسب هيكل الرواتب المعيّن الخاص بك ، لا يمكنك التقدم بطلب للحصول على مخصصات"
"Asset Name","اسم الأصول"
"Asset Recovery Cost for {0}: {1}","تكلفة استرداد الأصول لـ {0}: {1}"
"Assets Allocated","الأصول المخصصة"
"Assign Salary Structure to {0} employee(s)?","تعيين هيكل الراتب إلى {0} الموظف (s)؟"
"Assign Shift","تعيين التحول"
"Assign Shift Schedule","تعيين جدول التحول"
"Assign Structure","تعيين هيكل"
"Assigning Salary Structure","تعيين هيكل الراتب"
"Assigning Structure...","تعيين هيكل ..."
"Assigning Structures...","هيكلية التخصيص..."
"Assigning...","تعيين ..."
"Assignment based on","المهمة على أساس"
"Associate Job Opening","ربط الوظيفة الافتتاح"
"Associated Document","وثيقة مرتبطة"
"Associated Document Type","نوع المستند المرتبط"
"At least one interview has to be selected.","يجب اختيار مقابلة واحدة على الأقل."
"Attach Proof","نعلق دليل"
"Attachments","المرفقات"
"Attendance","الحضور"
"Attendance Calendar","تقويم الحضور"
"Attendance Count","عدد الحضور"
"Attendance Date","تاريخ الحضور"
"Attendance From Date","الحضور من تاريخ"
"Attendance From Date and Attendance To Date is mandatory","الحقل الحضور من تاريخ والحضور إلى تاريخ إلزامية\
<br>\
Attendance From Date and Attendance To Date is mandatory"
"Attendance ID","معرف الحضور"
"Attendance Marked","الحضور ملحوظ"
"Attendance Request","طلب حضور"
"Attendance Request History","تاريخ طلب الحضور"
"Attendance Settings","إعدادات الحضور"
"Attendance To Date","الحضور إلى تاريخ"
"Attendance Updated","تحديث الحضور"
"Attendance Warnings","تحذيرات الحضور"
"Attendance date {0} can not be less than employee {1}'s joining date: {2}","لا يمكن أن يكون تاريخ الحضور {0} أقل من تاريخ الانضمام إلى الموظف {1}"
"Attendance for all the employees under this criteria has been marked already.","لقد تم بالفعل تحديد الحضور لجميع الموظفين بموجب هذه المعايير."
"Attendance for employee {0} is already marked for an overlapping shift {1}: {2}","تم وضع علامة على الحضور للموظف {0} للتحول المتداخل {1}: {2}"
"Attendance for employee {0} is already marked for the date {1}: {2}","تم وضع علامة على الحضور للموظف {0} للتاريخ {1}: {2}"
"Attendance for employee {0} is already marked for the following dates: {1}","تم وضع علامة على الحضور للموظف {0} للتواريخ التالية: {1}"
"Attendance for the following dates will be skipped/overwritten on submission","سيتم تخطي/كتابة الحضور للتواريخ التالية عند التقديم"
"Attendance from {0} to {1} has already been marked for the Employee {2}","لقد تم بالفعل وضع علامة على الحضور من {0} إلى {1} للموظف {2}"
"Attendance has been marked as per employee check-ins","تم وضع علامة على الحضور حسب تسجيل وصول الموظف"
"Attendance has been marked for all the employees between the selected payroll dates.","تم وضع علامة على الحضور لجميع الموظفين بين تواريخ كشوف المرتبات المحددة."
"Attendance is pending for these employees between the selected payroll dates. Mark attendance to proceed. Refer {0} for details.","الحضور معلق لهؤلاء الموظفين بين تواريخ كشوف المرتبات المحددة. علامة الحضور للمضي قدما. الرجوع {0} للحصول على التفاصيل."
"Attendance marked successfully","يحمل الحضور بنجاح"
"Attendance not submitted for {0} as it is a Holiday.","لم يتم إرسال الحضور إلى {0} لأنه عطلة."
"Attendance not submitted for {0} as {1} is on leave.","لم يتم تقديم الحضور لـ {0} لأن {1} في إجازة."
"Attendance will be marked automatically only after this date.","سيتم تمييز الحضور تلقائيًا بعد هذا التاريخ فقط."
"AttendanceRequestListView","attencereQuestListView"
"Attendees","الحضور"
"Attrition Count","عدد الاستنزاف"
"Aug","أغسطس"
"Auto Attendance Settings","إعدادات الحضور التلقائي"
"Auto Leave Encashment","إجازة مغادرة السيارات"
"Automated Based on Goal Progress","آلي بناء على تقدم الهدف"
"Automatically fetches all assets allocated to the employee, if any","يجلب تلقائيًا جميع الأصول المخصصة للموظف ، إن وجدت"
"Automatically update Last Sync of Checkin","تحديث تلقائيا آخر مزامنة من checkin"
"Available Leave(s)","الإجازة (الإجازة) المتاحة"
"Available Leaves","الأوراق المتاحة"
"Average Feedback Score","متوسط ​​درجة ردود الفعل"
"Average Rating","متوسط ​​التصنيف"
"Average of Goal Score, Feedback Score, and Self Appraisal Score (out of 5)","متوسط ​​درجة الأهداف ، درجة التغذية المرتدة ، ونقاط التقييم الذاتي (من أصل 5)"
"Average rating of demonstrated skills","متوسط ​​تصنيف المهارات الموضحة"
"Avg Feedback Score","درجة التغذية المرتدة AVG"
"Avg Utilization","استخدام AVG"
"Avg Utilization (Billed Only)","استخدام AVG (فواتير فقط)"
"Awaiting Response","انتظار الرد"
"Backdated Leave Application is restricted. Please set the {} in {}","تطبيق الإجازة الخلفية مقيد. يرجى تعيين {} في {}"
"Bank","مصرف"
"Bank Account","حساب مصرفي"
"Bank Account No","رقم الحساب البنكي"
"Bank Details","تفاصيل البنك"
"Bank Entries","مدخلات البنك"
"Bank Name","اسم المصرف"
"Bank Remittance","التحويلات المصرفية"
"Base","الاساسي"
"Base & Variable","قاعدة ومتغير"
"Begin On (Days)","ابدأ (بالأيام)"
"Begin check-in before shift start time (in minutes)","ابدأ تسجيل الوصول قبل وقت بدء التحول (بالدقائق)"
"Beginner","مبتدئ"
"Below is the list of upcoming holidays for you:","فيما يلي قائمة العطلات القادمة لك:"
"Benefit","فائدة"
"Benefits","فوائد"
"Bill Amount","مبلغ فاتورة"
"Billed Hours","ساعات فواتير"
"Billed Hours (B)","ساعات الفواتير (ب)"
"Bimonthly","نصف شهري"
"Birthday Reminder","تذكير عيد ميلاد"
"Birthday Reminder 🎂","تذكير عيد الميلاد 🎂"
"Birthdays","أعياد الميلاد"
"Block Date","تاريخ الحظر"
"Block Days","الأيام المحظورة"
"Block Holidays on important days.","عطلات كتلة في أيام مهمة."
"Blue","أزرق"
"Body","الجسم"
"Bonus","علاوة"
"Bonus Amount","أجمالي المكافأة"
"Bonus Payment Date","تاريخ دفع المكافأة"
"Bonus Payment Date cannot be a past date","لا يمكن أن يكون تاريخ الدفع المكافأ تاريخًا سابقًا"
"Branch","فرع"
"Branch: {0}","الفرع: {0}"
"Bulk Assignments","المهام السائبة"
"Bulk Leave Policy Assignment","تعيين سياسة الإجازة السائبة"
"Bulk Salary Structure Assignment","تعيين هيكل الرواتب بالجملة"
"By default, the Final Score is calculated as the average of Goal Score, Feedback Score, and Self Appraisal Score. Enable this to set a different formula","بشكل افتراضي ، يتم حساب النتيجة النهائية على أنها متوسط ​​درجة الأهداف ، ونقاط التغذية المرتدة ، ودرجة التقييم الذاتي. تمكين هذا من وضع صيغة مختلفة"
"CTC","CTC"
"Calculate Final Score based on Formula","حساب النتيجة النهائية على أساس الصيغة"
"Calculate Gratuity Amount Based On","احسب مبلغ الإكراميات على أساس"
"Calculate Payroll Working Days Based On","حساب أيام عمل الرواتب على أساس"
"Calculated in days","تحسب بالأيام"
"Calls","مكالمات هاتفية"
"Campaign","حملة"
"Cancel","إلغاء"
"Cancellation Queued","الإلغاء في قائمة الانتظار"
"Cancelled","ألغيت"
"Cannot Modify Time","لا يمكن تعديل الوقت"
"Cannot allocate leaves outside the allocation period {0} - {1}","لا يمكن تخصيص الأوراق خارج فترة التخصيص {0} - {1}"
"Cannot break shift after end date","لا يمكن كسر الوردية بعد تاريخ الانتهاء"
"Cannot break shift before start date","لا يمكن كسر الوردية قبل تاريخ البدء"
"Cannot cancel Shift Assignment: {0} as it is linked to Attendance: {1}","لا يمكن إلغاء تعيين الوردية: {0} لأنه مرتبط بالحضور: {1}"
"Cannot cancel Shift Assignment: {0} as it is linked to Employee Checkin: {1}","لا يمكن إلغاء تعيين الوردية: {0} لأنه مرتبط بتسجيل حضور الموظف: {1}"
"Cannot create Salary Slip for Employee joining after Payroll Period","لا يمكن إنشاء قسيمة راتب لموظف التحق بعد فترة كشف الرواتب"
"Cannot create Salary Slip for Employee who has left before Payroll Period","لا يمكن إنشاء قسيمة راتب لموظف غادر قبل فترة كشف الرواتب"
"Cannot create a Job Applicant against a closed Job Opening","لا يمكن إنشاء متقدم لوظيفة لشاغر وظيفي مغلق"
"Cannot create or change transactions against an Appraisal Cycle with status {0}.","لا يمكن إنشاء أو تغيير المعاملات في دورة تقييم حالتها {0}."
"Cannot find active Leave Period","لا يمكن ايجاد فترة الاجازة النشطة"
"Cannot mark attendance for an Inactive employee {0}","لا يمكن تسجيل الحضور لموظف غير نشط {0}"
"Cannot submit. Attendance is not marked for some employees.","لا يمكن التقديم. لم يتم تسجيل الحضور لبعض الموظفين."
"Cannot update allocation for {0} after submission","لا يمكن تحديث التخصيص لـ {0} بعد التقديم"
"Cannot update status of Goal groups","لا يمكن تحديث حالة مجموعات الأهداف"
"Carry Forward","المضي قدما"
"Carry Forwarded Leaves","تحمل أوراق واحال"
"Casual Leave","أجازة عادية"
"Cause of Grievance","سبب التظلم"
"Change","تغيير"
"Changing '{0}' to {1}.","جاري تغيير '{0}' إلى {1}."
"Changing KRA in this parent goal will align all the child goals to the same KRA, if any.","سيؤدي تغيير مؤشرات الأداء الرئيسية في هذا الهدف الرئيسي إلى مواءمة جميع الأهداف الفرعية مع نفس مؤشرات الأداء الرئيسية، إن وجدت."
"Chart of Accounts","الشجرة المحاسبية"
"Chart of Cost Centers","دليل مراكز التكلفة"
"Check <a href='/app/List/Error Log?reference_doctype={0}'>{1}</a> for more details","تحقق من <a href='/app/List/Error Log?reference_doctype={0}'>{1}</a> لمزيد من التفاصيل"
"Check Error Log {0} for more details.","تحقق من سجل الأخطاء {0} لمزيد من التفاصيل."
"Check In","تسجيل الحضور"
"Check Out","تسجيل الانصراف"
"Check Vacancies On Job Offer Creation","التحقق من الوظائف الشاغرة عند إنشاء عرض العمل"
"Check {0} for more details","تحقق من {0} لمزيد من التفاصيل"
"Check-in","تسجيل الحضور"
"Check-in Date","تاريخ الوصول"
"Check-out","تسجيل الانصراف"
"Check-out Date","موعد انتهاء الأقامة"
"Checkin Radius","نطاق تسجيل الحضور"
"Child nodes can only be created under 'Group' type nodes","لا يمكن إنشاء العقد الفرعية إلا ضمن العقد من نوع 'مجموعة'"
"Claim Benefit For","فائدة للمطالبة"
"Claim Date","تاريخ المطالبة"
"Claim an Expense","المطالبة بمصروف"
"Claimed","ادعى"
"Claimed Amount","المبلغ المطالب به"
"Claims","المطالبات"
"Clear All","مسح الكل"
"Clearance Date","تاريخ الاستحقاق"
"Cleared","تم الاجتياز"
"Click {0} to change the configuration and then resave salary slip","انقر فوق {0} لتغيير الإعدادات ثم أعد حفظ قسيمة الراتب"
"Close","أغلق"
"Closed","مغلق"
"Closed On","أُغلق في"
"Closes On","يُغلق في"
"Closes on:","يُغلق في:"
"Closing Balance","الرصيد الختامي"
"Closing Notes","ملاحظات ختامية"
"Collapse All","انهيار جميع"
"Color","اللون"
"Comments","تعليقات"
"Commission","عمولة"
"Company","شركة"
"Company Details","تفاصيل الشركة"
"Company Information","معلومات الشركة"
"Compensatory Leave Request","طلب الإجازة التعويضية"
"Compensatory Off","تعويض"
"Completed","أكتمل"
"Completed On","اكتمل في"
"Completing onboarding","إكمال عملية الإلحاق"
"Component","مكون"
"Component properties and references ","خصائص المكونات والمراجع"
"Condition","الحالة"
"Condition & Formula","الشرط والصيغة"
"Condition and Formula Help","مساعدة الشرط والصيغة"
"Condition and formula","الشرط والصيغة"
"Conditions","الظروف"
"Conditions and Formula variable and example","متغير الشروط والصيغة والمثال"
"Conference","مؤتمر"
"Confirm","أكد"
"Confirm {0}","تأكيد {0}"
"Connections","الاتصالات"
"Consider Grace Period","مراعاة فترة السماح"
"Consider Marked Attendance on Holidays","مراعاة الحضور المسجل في العطلات"
"Consider Tax Exemption Declaration","مراعاة إقرار الإعفاء الضريبي"
"Consider Unmarked Attendance As","ضع في اعتبارك الحضور غير المحدد باسم"
"Consolidate Leave Types","دمج أنواع الإجازات"
